Character Number	State Number	Curator 1 EQ Number	Curator 2 EQ Number	SimJ Score	NIC Score
8	1	C_EQ_1	CP_EQ_2	0.00374531835206	0.509380495349
8	1	C_EQ_1	CP_EQ_3	0.0446735395189	0.466773626108
9	0	C_EQ_1	CP_EQ_1	0.137254901961	0.594666496839
9	1	C_EQ_1	CP_EQ_1	0.137254901961	0.559068571394
10	0	C_EQ_1	CP_EQ_1	0.0135062128579	0.63081369179
10	0	C_EQ_1	CP_EQ_2	0.0	0.0
10	1	C_EQ_1	CP_EQ_1	0	0
10	2	C_EQ_1	CP_EQ_1	0.0135062128579	0.650646967665
10	2	C_EQ_1	CP_EQ_2	0.0	0.0
11	0	C_EQ_1	CP_EQ_1	0	0
11	1	C_EQ_1	CP_EQ_1	0.00753498385361	0.661419613358
11	1	C_EQ_2	CP_EQ_1	0.012987012987	0.787805273371
12	0	C_EQ_1	CP_EQ_1	0.545454545455	0.81405956044
12	1	C_EQ_1	CP_EQ_1	0.545454545455	0.808115461445
13	0	C_EQ_1	CP_EQ_1	1.0	0.909200726536
13	1	C_EQ_1	CP_EQ_1	1.0	0.909200726536
14	0	C_EQ_1	CP_EQ_1	3.17379713089e-05	0.509380495349
14	1	C_EQ_1	CP_EQ_1	0	0
15	0	C_EQ_1	CP_EQ_1	0	0
15	1	C_EQ_1	CP_EQ_1	0	0
16	0	C_EQ_1	CP_EQ_1	0.0100659493232	0.723260286976
16	0	C_EQ_1	CP_EQ_2	0.0	0.0
16	0	C_EQ_1	CP_EQ_3	0.0	0.0
16	1	C_EQ_1	CP_EQ_1	0.0	0.0
16	1	C_EQ_1	CP_EQ_2	0.0	0.0
16	1	C_EQ_1	CP_EQ_3	0.0	0.0
17	0	C_EQ_1	CP_EQ_1	6.49013499481e-05	0.509380495349
17	1	C_EQ_1	CP_EQ_1	6.49013499481e-05	0.509380495349
18	0	C_EQ_1	CP_EQ_1	0.00324587503381	0.624449053069
18	1	C_EQ_1	CP_EQ_1	0.00324587503381	0.624449053069
19	0	C_EQ_1	CP_EQ_1	0.0	0.0
19	1	C_EQ_1	CP_EQ_1	0.0	0.0
19	2	C_EQ_1	CP_EQ_1	0.538461538462	0.73907401585
20	0	C_EQ_1	CP_EQ_1	0	0
20	1	C_EQ_1	CP_EQ_1	0.00353272544995	0.594923716555
21	0	C_EQ_1	CP_EQ_1	0.0	0.0
21	1	C_EQ_1	CP_EQ_1	0	0
22	0	C_EQ_1	CP_EQ_1	0.457142857143	0.840159280941
22	1	C_EQ_1	CP_EQ_1	0.0	0.0
23	0	C_EQ_1	CP_EQ_1	0.00171606864275	0.569131975571
23	1	C_EQ_1	CP_EQ_1	0.00170054760753	0.569131975571
24	0	C_EQ_1	CP_EQ_1	0	0
24	1	C_EQ_1	CP_EQ_1	0	0
25	0	C_EQ_1	CP_EQ_1	0.397435897436	0.828237906385
25	1	C_EQ_1	CP_EQ_1	0.397435897436	0.825613397796
26	0	C_EQ_1	CP_EQ_1	0	0
26	1	C_EQ_1	CP_EQ_1	0.0	0.0
27	0	C_EQ_1	CP_EQ_1	0.0	0.0
27	1	C_EQ_1	CP_EQ_1	0.0	0.0
28	0	C_EQ_1	CP_EQ_1	0.0	0.0
28	1	C_EQ_1	CP_EQ_1	0.0	0.0
29	0	C_EQ_1	CP_EQ_1	0.0	0.0
29	1	C_EQ_1	CP_EQ_1	0.727272727273	0.843579525717
30	0	C_EQ_1	CP_EQ_1	0	0
30	1	C_EQ_1	CP_EQ_1	0	0
31	0	C_EQ_1	CP_EQ_1	0.0283400809717	0.375489752248
31	0	C_EQ_1	CP_EQ_2	0.0	0.0
31	0	C_EQ_2	CP_EQ_1	0.0283400809717	0.375489752248
31	0	C_EQ_2	CP_EQ_2	0.0	0.0
31	1	C_EQ_1	CP_EQ_1	0.0272373540856	0.375489752248
31	1	C_EQ_1	CP_EQ_2	0.0	0.0
31	1	C_EQ_2	CP_EQ_1	0.0272373540856	0.375489752248
31	1	C_EQ_2	CP_EQ_2	0.0	0.0
32	0	C_EQ_1	CP_EQ_1	0.0285714285714	0.595095850209
32	1	C_EQ_1	CP_EQ_1	0.0285714285714	0.607212776993
33	0	C_EQ_1	CP_EQ_1	0.0	0.0
33	0	C_EQ_2	CP_EQ_1	0.0	0.0
33	0	C_EQ_3	CP_EQ_1	0.0	0.0
33	1	C_EQ_1	CP_EQ_1	0.278481012658	0.752079413915
33	2	C_EQ_1	CP_EQ_1	0.0	0.0
33	2	C_EQ_2	CP_EQ_1	0.0	0.0
33	2	C_EQ_3	CP_EQ_1	0.0	0.0
33	3	C_EQ_1	CP_EQ_1	1.0	0.847220580016
33	3	C_EQ_2	CP_EQ_1	0.428571428571	0.790492293611
33	4	C_EQ_1	CP_EQ_1	1.0	0.847220580016
34	0	C_EQ_1	CP_EQ_1	0	0
34	1	C_EQ_1	CP_EQ_1	0	0
34	1	C_EQ_2	CP_EQ_1	0	0
34	2	C_EQ_1	CP_EQ_1	0.0	0.0
34	3	C_EQ_1	CP_EQ_1	0.0	0.0
34	3	C_EQ_2	CP_EQ_1	0.0	0.0
35	0	C_EQ_1	CP_EQ_1	0.0	0.0
35	1	C_EQ_1	CP_EQ_1	0.0	0.0
36	0	C_EQ_1	CP_EQ_1	0.0	0.0
36	1	C_EQ_1	CP_EQ_1	0.0	0.0
36	1	C_EQ_2	CP_EQ_1	0.0	0.0
37	0	C_EQ_1	CP_EQ_1	0.0	0.0
37	1	C_EQ_1	CP_EQ_1	0	0
38	0	C_EQ_1	CP_EQ_1	0.0555555555556	0.607212776993
38	1	C_EQ_1	CP_EQ_1	0.0555555555556	0.595095850209
38	1	C_EQ_2	CP_EQ_1	0.0192307692308	0.595095850209
38	2	C_EQ_1	CP_EQ_1	0.0555555555556	0.595095850209
38	2	C_EQ_2	CP_EQ_1	0.0188679245283	0.595095850209
39	0	C_EQ_1	CP_EQ_1	0.00373134328358	0.509380495349
39	1	C_EQ_1	CP_EQ_1	0.00311526479751	0.509380495349
39	1	C_EQ_2	CP_EQ_1	0.0169491525424	0.509380495349
39	2	C_EQ_1	CP_EQ_1	0.0188679245283	0.595095850209
39	2	C_EQ_2	CP_EQ_1	0.0263157894737	0.509380495349
39	3	C_EQ_1	CP_EQ_1	0	0
39	3	C_EQ_2	CP_EQ_1	0	0
39	3	C_EQ_3	CP_EQ_1	0	0
40	0	C_EQ_1	CP_EQ_1	0	0
40	1	C_EQ_1	CP_EQ_1	0.0	0.0
40	2	C_EQ_1	CP_EQ_1	0	0
41	0	C_EQ_1	CP_EQ_1	0.0247678018576	0.378892421437
41	0	C_EQ_1	CP_EQ_2	0.0	0.0
41	0	C_EQ_2	CP_EQ_1	0.22	0.675998363827
41	0	C_EQ_2	CP_EQ_2	0.0	0.0
41	1	C_EQ_1	CP_EQ_1	0.0222222222222	0.378892421437
41	1	C_EQ_1	CP_EQ_2	0.0	0.0
41	1	C_EQ_2	CP_EQ_1	0.22	0.633303070345
41	1	C_EQ_2	CP_EQ_2	0.0	0.0
42	0	C_EQ_1	CP_EQ_1	0.0	0.0
42	0	C_EQ_1	CP_EQ_2	0.0	0.0
42	1	C_EQ_1	CP_EQ_1	0.0	0.0
42	1	C_EQ_1	CP_EQ_2	0.0	0.0
42	2	C_EQ_1	CP_EQ_1	0.0	0.0
42	2	C_EQ_1	CP_EQ_2	0.0	0.0
43	0	C_EQ_1	CP_EQ_1	0.311111111111	0.661980978793
43	0	C_EQ_1	CP_EQ_2	0.0	0.0
43	1	C_EQ_1	CP_EQ_1	0.0	0.0
43	1	C_EQ_1	CP_EQ_2	0.0	0.0
43	2	C_EQ_1	CP_EQ_1	0.203601108033	0.662122197289
43	2	C_EQ_1	CP_EQ_2	0.0	0.0
44	0	C_EQ_1	CP_EQ_1	0.00348432055749	0.565040492421
44	0	C_EQ_2	CP_EQ_1	0.00348432055749	0.565040492421
44	1	C_EQ_1	CP_EQ_1	0.00290834036964	0.565040492421
44	1	C_EQ_2	CP_EQ_1	0.00290834036964	0.565040492421
45	0	C_EQ_1	CP_EQ_1	0.264150943396	0.85529386606
45	1	C_EQ_1	CP_EQ_1	0.264150943396	0.816188747489
46	0	C_EQ_1	CP_EQ_1	0.0	0.0
46	1	C_EQ_1	CP_EQ_1	0.0	0.0
47	0	C_EQ_1	CP_EQ_1	0.0	0.0
47	1	C_EQ_1	CP_EQ_1	0.0	0.0
47	1	C_EQ_2	CP_EQ_1	0.762886597938	0.806265565859
47	1	C_EQ_3	CP_EQ_1	0.704761904762	0.806265565859
47	1	C_EQ_4	CP_EQ_1	0.704761904762	0.806265565859
48	0	C_EQ_1	CP_EQ_1	0	0
48	0	C_EQ_1	CP_EQ_2	0.00684931506849	0.546493191447
48	1	C_EQ_1	CP_EQ_1	0	0
48	1	C_EQ_2	CP_EQ_1	0	0
48	1	C_EQ_3	CP_EQ_1	0	0
48	2	C_EQ_1	CP_EQ_1	0	0
48	2	C_EQ_2	CP_EQ_1	0	0
49	0	C_EQ_1	CP_EQ_1	0.223684210526	0.93801985348
49	1	C_EQ_1	CP_EQ_1	0.223684210526	0.960894881429
50	0	C_EQ_1	CP_EQ_1	0.027027027027	0.58835999912
50	1	C_EQ_1	CP_EQ_1	0.0252100840336	0.518281922807
51	0	C_EQ_1	CP_EQ_1	9.23318406352e-05	0.537708126721
51	1	C_EQ_1	CP_EQ_1	9.23318406352e-05	0.537708126721
51	2	C_EQ_1	CP_EQ_1	0.0222222222222	0.607212776993
52	0	C_EQ_1	CP_EQ_1	0.0188679245283	0.607212776993
52	1	C_EQ_1	CP_EQ_1	0.0188679245283	0.595095850209
53	0	C_EQ_1	CP_EQ_1	0.0222222222222	0.551180687007
53	1	C_EQ_1	CP_EQ_1	0	0
54	0	C_EQ_1	CP_EQ_1	0.833333333333	0.859809616338
54	1	C_EQ_1	CP_EQ_1	0.833333333333	0.843579525717
55	0	C_EQ_1	CP_EQ_1	0.0	0.0
55	1	C_EQ_1	CP_EQ_1	0.0	0.0
55	2	C_EQ_1	CP_EQ_1	0.56862745098	0.825613397796
56	0	C_EQ_1	CP_EQ_1	1.0	0.870095607965
56	1	C_EQ_1	CP_EQ_1	1.0	0.87603970696
57	0	C_EQ_1	CP_EQ_1	0	0
57	1	C_EQ_1	CP_EQ_1	0	0
58	0	C_EQ_1	CP_EQ_1	0.109983079526	0.921789762858
58	1	C_EQ_1	CP_EQ_1	0.109983079526	0.921789762858
59	0	C_EQ_1	CP_EQ_1	0	0
59	1	C_EQ_1	CP_EQ_1	0	0
60	0	C_EQ_1	CP_EQ_1	0.121212121212	0.717316187981
60	1	C_EQ_1	CP_EQ_1	0.105263157895	0.717316187981
61	0	C_EQ_1	CP_EQ_1	0.0119047619048	0.595095850209
61	1	C_EQ_1	CP_EQ_1	0.0119047619048	0.607212776993
62	0	C_EQ_1	CP_EQ_1	0.000704523037903	0.48346658956
62	1	C_EQ_1	CP_EQ_1	0.000704423781347	0.48346658956
63	0	C_EQ_1	CP_EQ_1	0.0238095238095	0.667301681819
63	1	C_EQ_1	CP_EQ_1	0.0	0.0
63	1	C_EQ_2	CP_EQ_1	0.0	0.0
64	0	C_EQ_1	CP_EQ_1	0.0	0.0
64	1	C_EQ_1	CP_EQ_1	0.0	0.0
65	0	C_EQ_1	CP_EQ_1	0	0
65	0	C_EQ_2	CP_EQ_1	0	0
65	1	C_EQ_1	CP_EQ_1	0	0
65	2	C_EQ_1	CP_EQ_1	0	0
65	2	C_EQ_2	CP_EQ_1	0	0
65	3	C_EQ_1	CP_EQ_1	0	0
66	0	C_EQ_1	CP_EQ_1	0.00206572769953	0.598745524993
66	1	C_EQ_1	CP_EQ_1	0.00172675422532	0.598745524993
67	0	C_EQ_1	CP_EQ_1	0.0	0.0
67	1	C_EQ_1	CP_EQ_1	0.00254410890108	0.609502467024
68	0	C_EQ_1	CP_EQ_1	0.261682242991	0.687824089711
68	0	C_EQ_1	CP_EQ_2	0.0	0.0
68	0	C_EQ_1	CP_EQ_3	0.0	0.0
68	1	C_EQ_1	CP_EQ_1	0.261682242991	0.638451565171
68	1	C_EQ_1	CP_EQ_2	0.0	0.0
68	1	C_EQ_1	CP_EQ_3	0.0	0.0
69	0	C_EQ_1	CP_EQ_1	0.0827067669173	0.735329349474
69	1	C_EQ_1	CP_EQ_1	0.0827067669173	0.735329349474
70	0	C_EQ_1	CP_EQ_1	0.247058823529	0.672833977812
70	1	C_EQ_1	CP_EQ_1	0.0588235294118	0.626067376199
70	1	C_EQ_1	CP_EQ_2	0.0	0.0
70	1	C_EQ_2	CP_EQ_1	0.00229910225531	0.487185557692
70	1	C_EQ_2	CP_EQ_2	0.0	0.0
70	2	C_EQ_1	CP_EQ_1	0.0588235294118	0.626067376199
70	2	C_EQ_2	CP_EQ_1	0.00210970464135	0.487185557692
70	3	C_EQ_1	CP_EQ_1	0.0	0.0
71	0	C_EQ_1	CP_EQ_1	1.0	0.828237906385
71	1	C_EQ_1	CP_EQ_1	0	0
71	1	C_EQ_2	CP_EQ_1	0	0
71	1	C_EQ_3	CP_EQ_1	0	0
71	2	C_EQ_1	CP_EQ_1	0.0	0.0
71	2	C_EQ_2	CP_EQ_1	0.0	0.0
71	2	C_EQ_3	CP_EQ_1	0.0	0.0
72	0	C_EQ_1	CP_EQ_1	0.0730050933786	0.750027669243
72	0	C_EQ_1	CP_EQ_2	0.0	0.0
72	1	C_EQ_1	CP_EQ_1	0.0597222222222	0.750027669243
72	1	C_EQ_1	CP_EQ_2	0.0	0.0
73	0	C_EQ_1	CP_EQ_1	0.0659340659341	0.607641803855
73	1	C_EQ_1	CP_EQ_1	0.052752293578	0.607641803855
74	0	C_EQ_1	CP_EQ_1	1.0	0.840159280941
74	1	C_EQ_1	CP_EQ_1	1.0	0.851112934334
75	0	C_EQ_1	CP_EQ_1	0	0
75	0	C_EQ_2	CP_EQ_1	0	0
75	1	C_EQ_1	CP_EQ_1	0	0
75	1	C_EQ_2	CP_EQ_1	0	0
76	0	C_EQ_1	CP_EQ_1	0.0	0.0
76	1	C_EQ_1	CP_EQ_1	0.0	0.0
77	0	C_EQ_1	CP_EQ_1	0.0	0.0
77	1	C_EQ_1	CP_EQ_1	0.0	0.0
77	1	C_EQ_2	CP_EQ_1	0.0	0.0
78	0	C_EQ_1	CP_EQ_1	0.0222222222222	0.607212776993
78	1	C_EQ_1	CP_EQ_1	0.0222222222222	0.595095850209
79	0	C_EQ_1	CP_EQ_1	0.0030303030303	0.533867745471
79	1	C_EQ_1	CP_EQ_1	0.00303004797576	0.533867745471
80	0	C_EQ_1	CP_EQ_1	1.0	0.847220580016
80	1	C_EQ_1	CP_EQ_1	1.0	0.847220580016
81	0	C_EQ_1	CP_EQ_1	0.214285714286	0.780436105806
81	1	C_EQ_1	CP_EQ_1	0.214285714286	0.746135314925
82	0	C_EQ_1	CP_EQ_1	0.0	0.0
82	0	C_EQ_2	CP_EQ_1	0.0	0.0
82	1	C_EQ_1	CP_EQ_1	0.0	0.0
82	1	C_EQ_2	CP_EQ_1	0.0	0.0
82	2	C_EQ_1	CP_EQ_1	0.0	0.0
83	0	C_EQ_1	CP_EQ_1	0.00224215246637	0.58835999912
83	1	C_EQ_1	CP_EQ_1	0.00224215246637	0.554146397504
84	0	C_EQ_1	CP_EQ_1	1.0	0.847220580016
84	1	C_EQ_1	CP_EQ_1	1.0	0.847220580016
85	0	C_EQ_1	CP_EQ_1	0.00878815911193	0.636085354209
85	2	C_EQ_1	CP_EQ_1	0.952380952381	0.847220580016
85	1	C_EQ_1	CP_EQ_1	0.120835857056	0.81405956044
85	1	C_EQ_1	CP_EQ_2	0.0	0.0
86	0	C_EQ_1	CP_EQ_1	0.0153846153846	0.607212776993
86	1	C_EQ_1	CP_EQ_1	0.0153846153846	0.595095850209
87	0	C_EQ_1	CP_EQ_1	0.279411764706	0.743682025775
87	1	C_EQ_1	CP_EQ_1	0.279411764706	0.825613397796
88	0	C_EQ_1	CP_EQ_1	0	0
88	1	C_EQ_1	CP_EQ_1	0	0
89	0	C_EQ_1	CP_EQ_1	1.0	0.882684644288
89	1	C_EQ_1	CP_EQ_1	1.0	0.882684644288
90	0	C_EQ_1	CP_EQ_1	5.44425087108e-05	0.509380495349
90	1	C_EQ_1	CP_EQ_1	5.44425087108e-05	0.509380495349
91	0	C_EQ_1	CP_EQ_1	0.0	0.0
91	1	C_EQ_1	CP_EQ_1	0.000167084377611	0.753489906401
92	0	C_EQ_1	CP_EQ_1	0.0	0.0
92	0	C_EQ_2	CP_EQ_1	0.0	0.0
92	1	C_EQ_1	CP_EQ_1	0.135131298793	0.93801985348
92	1	C_EQ_1	CP_EQ_2	0.0	0.0
93	0	C_EQ_1	CP_EQ_1	0.738095238095	0.85529386606
93	0	C_EQ_1	CP_EQ_2	0.0	0.0
93	1	C_EQ_1	CP_EQ_1	0.738095238095	0.85529386606
93	1	C_EQ_1	CP_EQ_2	0.0	0.0
94	0	C_EQ_1	CP_EQ_1	0.0113780025284	0.654836774833
94	1	C_EQ_1	CP_EQ_1	0.0113780025284	0.654836774833
94	2	C_EQ_1	CP_EQ_1	0	0
95	0	C_EQ_1	CP_EQ_1	0.0222222222222	0.607212776993
95	1	C_EQ_1	CP_EQ_1	0.0222222222222	0.595095850209
96	0	C_EQ_1	CP_EQ_1	0.0	0.0
96	1	C_EQ_1	CP_EQ_1	0.0	0.0
97	0	C_EQ_1	CP_EQ_1	0.0915736821855	0.836934588389
97	1	C_EQ_1	CP_EQ_1	0.0915560684747	0.836934588389
98	0	C_EQ_1	CP_EQ_1	0.920152091255	0.890218052905
98	2	C_EQ_1	CP_EQ_1	0.0765957446809	0.843579525717
98	1	C_EQ_1	CP_EQ_1	0.0	0.0
99	0	C_EQ_1	CP_EQ_1	0.565217391304	0.812007815763
99	1	C_EQ_1	CP_EQ_1	0.565217391304	0.812007815763
100	0	C_EQ_1	CP_EQ_1	0	0
100	1	C_EQ_1	CP_EQ_1	0.0	0.0
101	0	C_EQ_1	CP_EQ_1	0.666666666667	0.960894881429
101	1	C_EQ_1	CP_EQ_1	0.666666666667	0.960894881429
102	0	C_EQ_1	CP_EQ_1	0.333202665621	0.836934588389
102	1	C_EQ_1	CP_EQ_1	1.0	0.882684644288
102	2	C_EQ_1	CP_EQ_1	0.0	0.0
102	2	C_EQ_2	CP_EQ_1	0.0	0.0
103	0	C_EQ_1	CP_EQ_1	0.84	0.921789762858
103	1	C_EQ_1	CP_EQ_1	0.84	0.921789762858
104	0	C_EQ_1	CP_EQ_1	0.0	0.0
104	0	C_EQ_2	CP_EQ_1	0.0	0.0
104	0	C_EQ_3	CP_EQ_1	0.0	0.0
104	1	C_EQ_1	CP_EQ_1	0.0	0.0
104	1	C_EQ_2	CP_EQ_1	0.0	0.0
105	0	C_EQ_1	CP_EQ_1	0	0
105	1	C_EQ_1	CP_EQ_1	0	0
106	0	C_EQ_1	CP_EQ_1	0	0
106	1	C_EQ_1	CP_EQ_1	0	0
106	1	C_EQ_2	CP_EQ_1	0	0
106	1	C_EQ_3	CP_EQ_1	0	0
107	0	C_EQ_1	CP_EQ_1	0.0	0.0
107	1	C_EQ_1	CP_EQ_1	0.142857142857	0.816188747489
107	1	C_EQ_1	CP_EQ_2	0.0239234449761	0.741909625749
108	0	C_EQ_1	CP_EQ_1	0.0	0.0
108	1	C_EQ_1	CP_EQ_1	0.0	0.0
109	0	C_EQ_1	CP_EQ_1	0.571428571429	0.773919242903
109	0	C_EQ_1	CP_EQ_2	0.0	0.0
109	1	C_EQ_1	CP_EQ_1	0.571428571429	0.752079413915
109	1	C_EQ_1	CP_EQ_2	0.0	0.0
110	0	C_EQ_1	CP_EQ_1	0.0416666666667	0.607212776993
110	1	C_EQ_1	CP_EQ_1	0	0
110	1	C_EQ_2	CP_EQ_1	0	0
110	2	C_EQ_1	CP_EQ_1	0	0
110	2	C_EQ_2	CP_EQ_1	0	0
111	0	C_EQ_1	CP_EQ_1	0.0	0.0
111	1	C_EQ_1	CP_EQ_1	0.0	0.0
112	0	C_EQ_1	CP_EQ_1	0.0	0.0
112	0	C_EQ_1	CP_EQ_2	0.024	0.633218296838
112	0	C_EQ_2	CP_EQ_1	0.0	0.0
112	0	C_EQ_2	CP_EQ_2	0.0384615384615	0.833884290908
112	1	C_EQ_1	CP_EQ_1	0	0
112	1	C_EQ_2	CP_EQ_1	0	0
113	0	C_EQ_1	CP_EQ_1	0.00952380952381	0.509380495349
113	1	C_EQ_1	CP_EQ_1	0.00952380952381	0.509380495349
114	0	C_EQ_1	CP_EQ_1	0.0	0.0
114	1	C_EQ_1	CP_EQ_1	0.0441558441558	0.810028077172
115	0	C_EQ_1	CP_EQ_1	0	0
115	0	C_EQ_1	CP_EQ_2	0.0	0.0
115	0	C_EQ_2	CP_EQ_1	0	0
115	0	C_EQ_2	CP_EQ_2	0.0	0.0
115	0	C_EQ_3	CP_EQ_1	0	0
115	0	C_EQ_3	CP_EQ_2	0.0	0.0
115	1	C_EQ_1	CP_EQ_1	0.0	0.0
115	1	C_EQ_2	CP_EQ_1	0.0	0.0
115	2	C_EQ_1	CP_EQ_1	0	0
115	2	C_EQ_1	CP_EQ_2	0.0	0.0
115	2	C_EQ_2	CP_EQ_1	0	0
115	2	C_EQ_2	CP_EQ_2	0.0	0.0
115	2	C_EQ_3	CP_EQ_1	0	0
115	2	C_EQ_3	CP_EQ_2	0.0	0.0
115	3	C_EQ_1	CP_EQ_1	0.0	0.0
116	0	C_EQ_1	CP_EQ_1	0.0	0.0
116	1	C_EQ_1	CP_EQ_1	0	0
117	0	C_EQ_1	CP_EQ_1	0.0	0.0
117	0	C_EQ_2	CP_EQ_1	0.0	0.0
117	1	C_EQ_1	CP_EQ_1	0.138888888889	0.5795268799
117	1	C_EQ_2	CP_EQ_1	0.138888888889	0.5795268799
118	0	C_EQ_1	CP_EQ_1	0.909090909091	0.797829469818
118	0	C_EQ_1	CP_EQ_2	0.0	0.0
118	1	C_EQ_1	CP_EQ_1	0.909090909091	0.771904144388
118	1	C_EQ_1	CP_EQ_2	0.0	0.0
119	0	C_EQ_1	CP_EQ_1	0.013175087108	0.708619505977
119	1	C_EQ_1	CP_EQ_1	0.013175087108	0.708619505977
120	0	C_EQ_1	CP_EQ_1	0.666666666667	0.774954441869
120	1	C_EQ_1	CP_EQ_1	0.666666666667	0.796283708449
121	0	C_EQ_1	CP_EQ_1	0.413333333333	0.825613397796
121	1	C_EQ_1	CP_EQ_1	0.0	0.0
122	0	C_EQ_1	CP_EQ_1	0.0268199233716	0.594666496839
122	1	C_EQ_1	CP_EQ_1	0.0268199233716	0.559068571394
123	0	C_EQ_1	CP_EQ_1	0.00124069478908	0.373676130708
123	0	C_EQ_2	CP_EQ_1	0.00390625	0.518281922807
123	1	C_EQ_1	CP_EQ_1	0	0
123	1	C_EQ_2	CP_EQ_1	0	0
124	0	C_EQ_1	CP_EQ_1	0.140200286123	0.85529386606
124	1	C_EQ_1	CP_EQ_1	0.140200286123	0.85529386606
125	0	C_EQ_1	CP_EQ_1	0.0	0.0
125	0	C_EQ_1	CP_EQ_2	0.0	0.0
125	0	C_EQ_2	CP_EQ_1	0.0	0.0
125	0	C_EQ_2	CP_EQ_2	0.0	0.0
125	2	C_EQ_1	CP_EQ_1	0.0	0.0
125	1	C_EQ_1	CP_EQ_1	0.0	0.0
125	1	C_EQ_1	CP_EQ_2	0.00260078023407	0.537708126721
125	1	C_EQ_2	CP_EQ_1	0.0	0.0
125	1	C_EQ_2	CP_EQ_2	0.00241254523522	0.537708126721
126	0	C_EQ_1	CP_EQ_1	3.6619305698e-05	0.509380495349
126	1	C_EQ_1	CP_EQ_1	3.6619305698e-05	0.509380495349
127	0	C_EQ_1	CP_EQ_1	0.0	0.0
127	0	C_EQ_1	CP_EQ_2	0.0	0.0
127	1	C_EQ_1	CP_EQ_1	0	0
127	1	C_EQ_2	CP_EQ_1	0	0
